#
## ./fault_db/xfr_merge.out
## File generated by TOOL:	xfr	20.09-s007 on Jun 19, 2025 at 13:55:09 CEST
#

{ <list of fault nodes> } <fault_seed> <fault_type> <fault injection time> <finish time> <result>
":UUT:\BUFF_COUNTER_REG[10]\:Q"    0    SEU    110ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[11]\:Q"    0    SEU    224ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[13]\:Q"    0    SEU    99ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[14]\:Q"    0    SEU    194ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[15]\:Q"    0    SEU    367ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[17]\:Q"    0    SEU    89ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[18]\:Q"    0    SEU    390ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[19]\:Q"    0    SEU    166ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[1]\:Q"    0    SEU    156ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[20]\:Q"    0    SEU    120ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[21]\:Q"    0    SEU    360ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[22]\:Q"    0    SEU    270ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[23]\:Q"    0    SEU    151ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[26]\:Q"    0    SEU    432ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[27]\:Q"    0    SEU    151ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[29]\:Q"    0    SEU    345ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[2]\:Q"    0    SEU    168ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[30]\:Q"    0    SEU    96ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[31]\:Q"    0    SEU    324ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[3]\:Q"    0    SEU    180ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[4]\:Q"    0    SEU    299ns    1us    <ON_TIME,UNDETECTED>
":UUT:\BUFF_COUNTER_REG[5]\:Q"    0    SEU    299ns    1us    <ON_TIME,UNDETECTED>
