#
## ./fault_db2/xfr_merge.out
## File generated by TOOL:	xfr	20.09-s007 on Jun 16, 2025 at 21:37:58 CEST
#

{ <list of fault nodes> } <fault_seed> <fault_type> <fault injection time> <finish time> <result>
":DATA_IN(0)"    0    SET+100ps    216ns    1us    <ON_TIME,UNDETECTED>
":DATA_IN(1)"    0    SET+100ps    337ns    1us    <ON_TIME,UNDETECTED>
":DATA_IN(2)"    0    SET+100ps    135ns    1us    <ON_TIME,UNDETECTED>
":DATA_IN(3)"    0    SET+100ps    282ns    1us    <ON_TIME,UNDETECTED>
":DATA_IN(4)"    0    SET+100ps    332ns    1us    <ON_TIME,UNDETECTED>
":DATA_IN(5)"    0    SET+100ps    216ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:DI(7)"    0    SET+100ps    60ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:DI_IN(0)"    0    SET+100ps    244ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:DI_IN(1)"    0    SET+100ps    413ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:DI_IN(2)"    0    SET+100ps    209ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:DI_IN(3)"    0    SET+100ps    162ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:DI_IN(4)"    0    SET+100ps    357ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:DI_IN(5)"    0    SET+100ps    217ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:DI_IN(6)"    0    SET+100ps    261ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:DI_IN(7)"    0    SET+100ps    226ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S(0)"    0    SET+100ps    282ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S(1)"    0    SET+100ps    397ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S(2)"    0    SET+100ps    378ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S(3)"    0    SET+100ps    236ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S(4)"    0    SET+100ps    83ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S(5)"    0    SET+100ps    111ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S(6)"    0    SET+100ps    375ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S(7)"    0    SET+100ps    189ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S_IN(0)"    0    SET+100ps    395ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S_IN(1)"    0    SET+100ps    251ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S_IN(2)"    0    SET+100ps    200ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S_IN(3)"    0    SET+100ps    138ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S_IN(4)"    0    SET+100ps    221ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S_IN(5)"    0    SET+100ps    230ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S_IN(6)"    0    SET+100ps    307ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:S_IN(7)"    0    SET+100ps    283ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:CARRY_TYPE_BIN"    0    SET+100ps    94ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:XIL_ATTR_TEST"    0    SET+100ps    234ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[0]_I_2\:CI_TOP_MUX"    0    SET+100ps    220ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[1]\:GLBLGSR"    0    SET+100ps    251ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[1]\:Q"    0    SET+100ps    421ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[1]\:Q_OUT"    0    SET+100ps    124ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[1]\:INIT_BIN"    0    SET+100ps    283ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[1]\:CLR"    0    SET+100ps    313ns    1us    <ON_TIME,DETECTED:313100ps>
":UUT:\K_REG[1]\:IS_CLR_INVERTED_BIN"    0    SET+100ps    342ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[1]\:C"    0    SET+100ps    123ns    1us    <ON_TIME,DETECTED:123100ps>
":UUT:\K_REG[1]\:IS_C_INVERTED_BIN"    0    SET+100ps    183ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[1]\:CE"    0    SET+100ps    280ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[1]\:D"    0    SET+100ps    138ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[1]\:IS_D_INVERTED_BIN"    0    SET+100ps    227ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[2]\:GLBLGSR"    0    SET+100ps    195ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[2]\:Q"    0    SET+100ps    257ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[2]\:Q_OUT"    0    SET+100ps    88ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[2]\:INIT_BIN"    0    SET+100ps    321ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[2]\:CLR"    0    SET+100ps    331ns    1us    <ON_TIME,DETECTED:331100ps>
